topic_id,topic_prob
-1,0.0
297,0.7168274004955284
44,1.0
4,0.6044693866305085
2,1.0
296,0.4051149150161441
991,0.9650622340061299
297,0.5787926191362175
4,0.9779164253994249
72,1.0
297,1.0
-1,0.0
-1,0.0
-1,0.0
118,0.158347400947482
-1,0.0
189,0.4417313548384672
-1,0.0
-1,0.0
-1,0.0
143,1.0
62,1.0
49,0.9196591931603226
118,0.1686838826419596
189,0.481577664350606
118,1.0
189,0.42964328933685014
-1,0.0
97,0.6898876431539035
109,0.4538572647736279
204,1.0
297,1.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
297,0.1354689339025633
-1,0.0
297,0.14865613509782244
4,0.3589832905263698
118,0.733802420799622
-1,0.0
77,0.8287490814535932
35,1.0
-1,0.0
525,1.0
-1,0.0
-1,0.0
72,1.0
112,0.9626640611941515
526,0.9845131442881297
345,0.6470051556510116
-1,0.0
-1,0.0
-1,0.0
112,1.0
-1,0.0
-1,0.0
81,0.9278239118073477
72,1.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
13,0.2712517253737785
-1,0.0
-1,0.0
-1,0.0
25,0.8194696188039827
35,1.0
-1,0.0
77,0.8381842067991463
5,0.9214921064811843
-1,0.0
-1,0.0
118,0.2015501570884552
-1,0.0
359,0.8359962712738784
4,1.0
17,0.5482481723359676
-1,0.0
38,0.8982133511329264
-1,0.0
-1,0.0
-1,0.0
224,0.14301554478940448
-1,0.0
-1,0.0
4,1.0
891,1.0
20,0.8758860831508025
112,0.7797122249697431
-1,0.0
-1,0.0
-1,0.0
27,0.44603285228606127
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
849,1.0
-1,0.0
13,0.18372122034257865
-1,0.0
-1,0.0
-1,0.0
31,0.6117398798609059
25,0.9774175020964561
4,0.4375801481713628
578,1.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
143,0.3511592385532165
78,0.47480016465178837
118,0.17123747464138475
-1,0.0
-1,0.0
72,1.0
-1,0.0
25,0.7438287766442333
-1,0.0
195,0.6096728199479988
143,0.3785785959911788
-1,0.0
13,0.30780642648670464
-1,0.0
-1,0.0
-1,0.0
836,1.0
4,0.9305603635451157
-1,0.0
72,1.0
996,1.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
617,0.7686580013969696
4,0.3448039401329871
112,1.0
-1,0.0
-1,0.0
25,0.6546491273731561
112,1.0
25,0.6798554710472188
53,1.0
25,0.9654620574975379
112,0.960755922689408
-1,0.0
78,0.8245451179771988
118,0.34452622526902954
-1,0.0
112,1.0
118,0.63076138666146
-1,0.0
69,1.0
49,1.0
112,0.8713870758757275
921,0.7884694213845761
226,0.5100739886054
-1,0.0
467,0.7497814007856505
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
78,0.47235449333939306
-1,0.0
-1,0.0
-1,0.0
310,0.8847941511270736
-1,0.0
847,1.0
726,0.9927363982083983
-1,0.0
-1,0.0
-1,0.0
12,0.759325639430444
996,1.0
13,0.23968594369901866
726,1.0
922,1.0
726,1.0
-1,0.0
-1,0.0
62,0.9693380251139759
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
189,0.4326236560127921
-1,0.0
78,0.44926022030153506
78,0.7233418512722415
-1,0.0
-1,0.0
-1,0.0
296,0.3923951366458262
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
290,0.21226437649270966
296,0.34333577093885415
-1,0.0
-1,0.0
916,1.0
-1,0.0
-1,0.0
-1,0.0
297,0.28932726771837886
526,1.0
62,0.8842969300682088
296,0.3093539836224397
-1,0.0
31,0.663206735569922
-1,0.0
-1,0.0
233,0.8418489592946643
-1,0.0
-1,0.0
35,1.0
-1,0.0
-1,0.0
-1,0.0
49,1.0
-1,0.0
189,0.2812997182274994
-1,0.0
77,1.0
-1,0.0
35,1.0
-1,0.0
49,1.0
38,0.5297445140079553
-1,0.0
-1,0.0
-1,0.0
-1,0.0
4,1.0
700,0.5532636958837204
-1,0.0
-1,0.0
282,0.6718992608361114
58,0.7296861890054288
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
78,0.6041838608678141
77,1.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
78,0.39383122163059936
-1,0.0
35,0.9442561863969193
-1,0.0
-1,0.0
20,1.0
-1,0.0
31,0.872319977447424
160,0.4671444898888097
13,0.35267257525445345
-1,0.0
296,0.1837234820481351
-1,0.0
-1,0.0
296,0.16853664558300624
-1,0.0
13,0.13068794867342423
189,0.45822548255479656
-1,0.0
296,0.35405717282538124
-1,0.0
-1,0.0
946,0.955230738728606
-1,0.0
-1,0.0
-1,0.0
-1,0.0
4,0.5408284979176994
4,0.48033161439721295
-1,0.0
31,0.6642269963696336
-1,0.0
-1,0.0
-1,0.0
-1,0.0
4,1.0
204,0.6884365625897062
49,1.0
297,0.7023679446167319
-1,0.0
-1,0.0
-1,0.0
4,1.0
20,0.9630022431928493
-1,0.0
297,0.7762969751082934
-1,0.0
-1,0.0
118,0.6267277314279167
63,0.7169641829118273
4,1.0
-1,0.0
-1,0.0
55,1.0
4,0.48707140370684876
-1,0.0
118,0.13470772273773018
333,0.24506369745885676
-1,0.0
806,0.8465423949833151
44,0.7563949107841541
-1,0.0
-1,0.0
13,0.1517763180754183
118,0.12632235082097756
574,0.8932164138473683
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
11,0.7160194487750309
-1,0.0
-1,0.0
-1,0.0
-1,0.0
62,0.85457347905214
13,0.4932114562268478
573,0.8070362033133555
111,1.0
-1,0.0
81,1.0
233,1.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
35,0.9170484620133884
55,0.6904511426515767
219,1.0
35,0.9945598294573558
-1,0.0
-1,0.0
204,0.7428160336048305
-1,0.0
76,1.0
78,0.4120884450728104
-1,0.0
347,0.4382877211074265
-1,0.0
204,1.0
204,1.0
118,0.20159277237530857
-1,0.0
62,0.9329031770963581
-1,0.0
62,0.9335102872516804
62,0.91585371628264
-1,0.0
-1,0.0
296,0.9348794978320943
118,0.9308062937458433
-1,0.0
296,0.22938945456806242
-1,0.0
118,0.9973023354788597
31,1.0
76,1.0
-1,0.0
-1,0.0
-1,0.0
112,1.0
-1,0.0
49,1.0
-1,0.0
-1,0.0
-1,0.0
62,0.9329031770963581
-1,0.0
62,0.9703117363874258
297,0.870809598204584
-1,0.0
572,1.0
572,0.5252638975300084
-1,0.0
219,1.0
-1,0.0
78,0.38099696952701373
-1,0.0
62,1.0
77,0.5552553450391191
-1,0.0
77,1.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
81,0.7596910516651898
-1,0.0
-1,0.0
-1,0.0
-1,0.0
-1,0.0
35,1.0
572,0.9172837525675499
333,0.8076462465369176
-1,0.0
333,0.19459965236586554
-1,0.0
-1,0.0
35,0.9930351287006166
62,0.9090352290572509
77,0.6199663901350285
62,1.0
-1,0.0
-1,0.0
76,0.32831984676991316
25,0.9109308273084122
